"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
1000,1,3,300,0,0.0151845469058059,0.00616937745372967,0.025527192008879
1000,1,3,300,1,0.291897150735593,0.267259056732741,0.318754141815772
1000,1,5,1000,0,0.0137457809957285,0.0071389346512905,0.0226519337016575
1000,1,5,1000,1,0.318620600782411,0.285714285714286,0.347589952477936
1000,1,5,300,0,0.0139808565014038,0.00522648083623693,0.0243212669683258
1000,1,5,300,1,0.314720470079277,0.282033426183844,0.340225563909774
100,0,2,1000,0,0.0152717797888375,0,0.046875
100,0,2,1000,1,0.205966911981139,0.09,0.292817679558011
1000,2,1,1000,0,0.0153555822579419,0.00592034445640474,0.0254003313086692
1000,2,1,1000,1,0.227566274407731,0.179305912596401,0.268638324091189
1000,2,1,300,0,0.0122135607174605,0.00425758382118148,0.0228702115494568
1000,2,1,300,1,0.23422721976315,0.193292682926829,0.27509778357236
1000,2,2,1000,0,0.0137329843120399,0.00538922155688623,0.0225861095426313
1000,2,2,1000,1,0.280594306575318,0.248484848484848,0.31635900700191
1000,2,2,300,0,0.00906063827500923,0.00418910831837223,0.0179789212647241
1000,2,2,300,1,0.241848941133562,0.207951070336391,0.273220338983051
100,0,2,300,0,0.0161327372221069,0,0.0461538461538462
100,0,2,300,1,0.205206660013257,0.0115606936416185,0.30625
1000,2,3,1000,0,0.0114608171142673,0.00522344747533372,0.0214797136038186
1000,2,3,1000,1,0.286456798048913,0.256209150326797,0.311327310632384
1000,2,3,300,0,0.0118815809812701,0.00386526780784097,0.0221465076660988
1000,2,3,300,1,0.283977870338263,0.252768729641694,0.315395095367847
1000,2,5,1000,0,0.0146230249903249,0.00585106382978723,0.0232300884955752
1000,2,5,1000,1,0.319184150100893,0.290836653386454,0.348884381338742
1000,2,5,300,0,0.0150446027497676,0.00634737449509521,0.0253025302530253
1000,2,5,300,1,0.315965020570508,0.28391793514229,0.343596920923723
100,0,3,1000,0,0.0105431843448655,0,0.0341463414634146
100,0,3,1000,1,0.219890581660755,0,0.361538461538462
100,0,3,300,0,0.00779544201188379,0,0.0246913580246914
100,0,3,300,1,0.158870977236153,0,0.32258064516129
100,0,5,1000,0,0.0177508439232095,0,0.0540540540540541
100,0,5,1000,1,0.290289784014358,0.106796116504854,0.386363636363636
1000,5,1,1000,0,0.0144370064775208,0.00577034045008656,0.0278099652375435
1000,5,1,1000,1,0.237530390885349,0.203989703989704,0.274247491638796
1000,5,1,300,0,0.0110370795544059,0.00395256916996047,0.0187265917602996
1000,5,1,300,1,0.178239410454825,0.133922931143399,0.220360024829299
1000,5,2,1000,0,0.0119915463056888,0.00469483568075117,0.0219907407407407
1000,5,2,1000,1,0.26666544626232,0.235492577597841,0.300067430883345
1000,5,2,300,0,0.013218584072976,0.00427122263747998,0.0256410256410256
1000,5,2,300,1,0.260199574699064,0.228723404255319,0.285443037974684
100,0,5,300,0,0.0196197134134103,0,0.0641711229946524
100,0,5,300,1,0.282628853196283,0.151960784313725,0.392670157068063
1000,5,3,1000,0,0.0165500264630895,0.00679501698754247,0.0313253012048193
1000,5,3,1000,1,0.291493294544234,0.26312292358804,0.319119669876204
1000,5,3,300,0,0.0164756316835554,0.00695187165775401,0.0300500834724541
1000,5,3,300,1,0.280013877215594,0.2527759634226,0.309572301425662
1000,5,5,1000,0,0.0143205369502379,0.00547945205479452,0.0256547300908605
1000,5,5,1000,1,0.312033810654361,0.283783783783784,0.341571609632446
1000,5,5,300,0,0.0126951128512623,0.00555247084952804,0.0212514757969303
1000,5,5,300,1,0.309730574287783,0.283717679944095,0.338325391422737
100,10,1,1000,0,0.00666618188587145,0,0.0209424083769634
100,10,1,1000,1,0.0457970819636494,0.00531914893617021,0.107344632768362
100,10,1,300,0,0.0117227901112248,0,0.04
100,10,1,300,1,0.12691560785408,0.00632911392405063,0.233918128654971
100,10,2,1000,0,0.0116453717136958,0,0.0537634408602151
100,10,2,1000,1,0.158624425063358,0.00454545454545455,0.297619047619048
100,10,2,300,0,0.0161511530685519,0,0.0584795321637427
100,10,2,300,1,0.191037380960744,0.00865800865800866,0.287292817679558
100,10,3,1000,0,0.0181056583086866,0,0.0746268656716418
100,10,3,1000,1,0.225973276082016,0.0050251256281407,0.353333333333333
100,10,3,300,0,0.00947287665404601,0,0.0352941176470588
100,10,3,300,1,0.209722789904758,0,0.316666666666667
100,10,5,1000,0,0.0142826160319679,0,0.0555555555555556
100,10,5,1000,1,0.265019181936084,0.00518134715025907,0.391566265060241
100,10,5,300,0,0.0185539548781354,0,0.0555555555555556
100,10,5,300,1,0.260706699234508,0.00471698113207547,0.397260273972603
100,1,1,1000,0,0.0182779841240228,0,0.0520833333333333
100,1,1,1000,1,0.172996898259134,0.0523809523809524,0.27536231884058
100,1,1,300,0,0.00950931646052769,0,0.0309278350515464
100,1,1,300,1,0.0814188115767624,0.00632911392405063,0.169590643274854
