"population","meanagegap","sdagegap","eyecap","transmission","Y35.mean","Y35.low","Y35.high"
1000,0,1,1000,0,0.000903550982324839,0.000104687300448273,0.00171438995707078
1000,0,1,1000,1,0.0194539631671613,0.0108488265306959,0.0268492106309562
1000,0,1,300,0,0.000479895634342645,0,0.00120477592140967
1000,0,1,300,1,0.0122128218372561,0.00718266144583213,0.0176959005994341
1000,0,2,1000,0,0.000924700692281936,9.81355256425705e-05,0.00228568231099052
1000,0,2,1000,1,0.0245582171052735,0.017199758383019,0.0323554972027754
1000,0,2,300,0,0.000533824992064878,0,0.00119531000259683
1000,0,2,300,1,0.022804542350179,0.0169447400386868,0.0307830287652122
1000,0,3,1000,0,0.00112904013250455,0.000293937236494552,0.00233186551679631
1000,0,3,1000,1,0.0229541074905543,0.0169838339964052,0.029071416154931
1000,0,3,300,0,0.00084099431656518,9.80871586693973e-05,0.00170327780800411
1000,0,3,300,1,0.0239019221767288,0.0169069397988924,0.0338164533089652
1000,0,5,1000,0,0.00080052522219258,9.76727283953647e-05,0.00166069558262771
1000,0,5,1000,1,0.0275425091792317,0.0199869813091883,0.0385254270623124
1000,0,5,300,0,0.000873708638041671,9.69896368901576e-05,0.00199095858133006
1000,0,5,300,1,0.0243796575242625,0.0186539557395569,0.0316726851692496
1000,10,1,1000,0,0.000600940821437947,0,0.00163021537963147
1000,10,1,1000,1,0.0171414224670477,0.0112849632797614,0.0241607165058718
1000,10,1,300,0,0.00052134996263201,0,0.00132536286428835
1000,10,1,300,1,0.0133131199501657,0.00833198705493613,0.0191868768294842
1000,10,2,1000,0,0.00119529119086461,0.000198055184405942,0.00246089259909131
1000,10,2,1000,1,0.0147227027848904,0.00875049734039453,0.0199091987951078
1000,10,2,300,0,0.000590946627886276,0,0.00163219496983323
1000,10,2,300,1,0.0172706502343201,0.0118092684137376,0.0232990450593417
1000,10,3,1000,0,0.00123598843400568,9.77925256071999e-05,0.00274981999561648
1000,10,3,1000,1,0.0170722917736021,0.0125506510496892,0.0224929553673043
1000,10,3,300,0,0.00100902656246876,0.000197763762897411,0.00222193367110628
1000,10,3,300,1,0.0157472198192496,0.0112231758978843,0.0237720892978724
1000,10,5,1000,0,0.00114820397460056,0.000193944785495088,0.00252665001890189
1000,10,5,1000,1,0.0209892643332797,0.0144006079763083,0.0276952854890022
1000,10,5,300,0,0.00183150576726617,0.000383532894883772,0.00385004153405488
1000,10,5,300,1,0.020325709370499,0.015162200745879,0.027912981898091
100,0,1,1000,0,0.000780046614381984,0,0.00335329808476132
100,0,1,1000,1,0.00544834774824951,0,0.0202760345806381
